# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d574
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_curr
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] ___kmp_free
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_ev_gpe_detect
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_ev_detect_gpe
     0.01%     0.01%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_os_read_port
     0.01%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] 0x00000000000284d4
     0.01%     0.01%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] native_irq_return_iret
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_hw_gpe_read
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d1af
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000c00000000
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000791aa
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794f7
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d502
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_load_avg
     0.01%     0.01%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] idma64_irq
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079543
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d555
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000078fe9
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d04a
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079139
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d149
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x00000000000017ff
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmp_invoke_microtask
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] try_to_wake_up
