# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd7b5
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fe28
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3e44
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000037408
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000002001c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac4038
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079527
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] calc_global_load
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003ffb3
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003a024
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfade026
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rb_next
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __remove_hrtimer
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd842
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fe53
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3e55
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rb_insert_color
     0.00%     0.00%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] __kmpc_fork_call@plt
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd6e0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000020117
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac411d
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x000000000000000c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079062
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d090
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039b47
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddb61
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] raise_softirq
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039711
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd724
     0.00%     0.00%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] __kmpc_for_static_init_8u@plt
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000002000
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003975d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd760
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061da1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05da8
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ktime_get_update_offsets_now
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acct_account_cputime
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] account_process_tick
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_get_gpe_status
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_hw_get_gpe_status
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_ev_fixed_event_detect
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_hw_register_read
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_hw_read
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_hw_read_port
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec030
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __mod_memcg_state
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [k] 0x00007ff1464eb08b
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_execve
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] do_execveat_common.isra.0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] bprm_execve
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] bprm_execve.part.0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] exec_binprm
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] search_binary_handler
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] load_elf_binary
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] setup_arg_pages
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] shift_arg_pages
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] move_page_tables
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] move_page_tables.part.0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __pte_alloc
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] pte_alloc_one
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] alloc_pages
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __alloc_pages
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __memcg_kmem_charge_page
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] memcg_account_kmem
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] mod_memcg_state
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061d1e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d22
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003969f
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irqd_cfg
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ioapic_ack_level
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] syscall
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_sched_setaffinity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sched_setaffinity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __sched_setaffinity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __set_cpus_allowed_ptr
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __set_cpus_allowed_ptr_locked
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] affine_move_task
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __wait_for_common
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] wait_for_completion
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __cond_resched
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] preempt_schedule_common
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] wake_up_var
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] native_write_msr
     0.00%     0.00%  perf-exec        [unknown]              [k] 0x00007ff1464eb08b
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] do_syscall_64
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] __x64_sys_execve
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] do_execveat_common.isra.0
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] bprm_execve
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] bprm_execve.part.0
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] exec_binprm
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] search_binary_handler
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] load_elf_binary
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] begin_new_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] perf_event_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] perf_event_enable_on_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] ctx_resched
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] perf_ctx_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] x86_pmu_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] intel_pmu_enable_all
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sched_clock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] nmi_handle
     0.00%     0.00%  perf-exec        [kernel.kallsyms]      [k] native_sched_clock


#
# (Cannot load tips.txt file, please install perf!)
#
