# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3614a9fc1ace8dc
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] fpregs_assert_state_consistent
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000002060b
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa60d
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ktime_get_update_offsets_now
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rebalance_domains
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000206ba
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa6bf
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] read_tsc
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001f744
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf9748
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df2e
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f32
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] syscall_return_via_sysret
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc363afe4c09d2677
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3686c1cbf904087
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] psi_task_switch
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] mt_destroy_walk.isra.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_mas_align_munmap
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __mt_destroy
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] switch_fpu_return
     0.00%     0.00%  nbody3D_1_GCC_O  libc.so.6            [.] __mmap
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_mmap
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ksys_mmap_pgoff
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] vm_mmap_pgoff
     0.00%     0.00%  nbody3D_1_GCC_O  libc.so.6            [.] start_thread
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __rseq_handle_notify_resume
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] x86_pmu_enable
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] intel_pmu_enable_all
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000016f16
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf0f1a
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc37b49c93f6961b9
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] timekeeping_advance
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] tick_do_update_jiffies64
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] update_wall_time
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] 0x0000000000001154
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] omp_get_thread_num
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] lapic_next_deadline
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001f3c2
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf92b7
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc36276aac10a431c
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3651110c0420a87
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] run_timer_softirq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __run_timers.part.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] enqueue_hrtimer
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020617
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf93c2
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] psi_task_change
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df6d
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f72
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] hrtimer_active
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020770
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa772
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_sched_clock_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc361771ec18f4efe
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] hrtimer_update_next_event
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __mmdrop
